Model,Modality,Test AUC,Test AUPRC,Test F1
XGBoost,Structured EHR (GRU),0.6406,0.3408,0.0
Gated Fusion,Fusion,0.638,0.3495,0.2887
Early Fusion (MLP HPO),Fusion,0.6378,0.3541,0.3465
XGBoost,Full Fusion,0.6371,0.3495,0.0903
XGBoost (Optuna),Fusion,0.6327,0.3582,0.0
Gated Fusion (Optuna),Fusion,0.6316,0.3613,0.2947
Temporal Attention,Fusion,0.6307,0.3464,0.1801
XGBoost,Full Fusion,0.6297,0.3577,0.2564
XGBoost,Full Fusion,0.6297,0.3577,0.2564
XGBoost,Structured EHR (GRU),0.626,0.3587,0.1131
XGBoost,Structured EHR (GRU),0.626,0.3587,0.1131
XGBoost,All Notes,0.6145,0.3264,0.0
XGBoost,All Notes,0.6145,0.3264,0.0
XGBoost,All Notes,0.6145,0.3264,0.0
XGBoost,Discharge Notes,0.614,0.3441,0.0
XGBoost,Discharge Notes,0.614,0.3441,0.0
XGBoost,Discharge Notes,0.614,0.3441,0.0
Early Fusion (MLP),Fusion,0.6116,0.3271,0.3519
XGBoost,Static EHR,0.611,0.3131,0.0
XGBoost,Static EHR,0.611,0.3131,0.0
XGBoost,Static EHR,0.611,0.3131,0.0
Late Fusion (2-Tower),Fusion,0.6051,0.3217,0.3142
Attention Fusion,Fusion,0.6045,0.33,0.2427
XGBoost,Radiology Notes,0.6039,0.3178,0.0
XGBoost,Radiology Notes,0.6039,0.3178,0.0
XGBoost,Radiology Notes,0.6039,0.3178,0.0
XGBoost,Baseline (Demo),0.5355,0.2581,0.0
XGBoost,Baseline (Demo),0.5355,0.2581,0.0
XGBoost,Baseline (Demo),0.5355,0.2581,0.0
